artist,song,date,rank,weeks-on-board
Daybreak,Good Morning Freedom,1970-07-04,94,3
Dayton,Hot Fun In The Summertime,1982-09-04,58,7
Daze,Superhero,1998-06-06,88,3
Dazz Band,Joystick,1984-04-21,61,11
Dazz Band,Let It All Blow,1985-01-12,84,7
Dazz Band,Let It Whip,1982-09-25,5,23
De La Soul,Breakadawn,1993-10-16,76,5
De La Soul,Me Myself And I,1989-09-23,34,17
De La Soul Featuring Chaka Khan,All Good?,2001-01-06,96,3
DeJ Loaf,No Fear,2017-09-23,100,1
DeJ Loaf,Try Me,2015-03-21,45,20
DeJ Loaf Featuring Big Sean,Back Up,2016-02-20,47,18
DeJohn Sisters,Straighten Up & Fly Right,1958-08-25,73,2
Dead Or Alive,Brand New Lover,1987-04-25,15,22
Dead Or Alive,Come Home With Me Baby,1989-08-19,69,8
Dead Or Alive,Lover Come Back To Me,1985-11-02,75,7
Dead Or Alive,Something In My House,1987-05-30,85,6
Dead Or Alive,You Spin Me Round (Like A Record),1985-09-28,11,18
Deadeye Dick,"New Age Girl (From ""Dumb And Dumber"")",1995-02-25,27,27
Dean & Marc,Tell Him No,1959-05-18,42,8
Dean And Jean,"Hey Jean, Hey Dean",1964-04-11,32,8
Dean And Jean,I Wanna Be Loved,1964-06-27,91,5
Dean And Jean,Tra La La La Suzy,1964-01-25,35,13
Dean Christie,Heart Breaker,1962-12-01,87,4
Dean Friedman,Ariel,1977-09-10,26,22
Dean Lewis,Be Alright,2019-05-25,23,29
Dean Martin,(Open Up The Door) Let The Good Times In,1967-01-21,55,6
Dean Martin,(Remember Me) I'm The One Who Loves You,1965-07-03,32,7
Dean Martin,A Million And One,1966-09-03,41,7
Dean Martin,Angel Baby,1958-09-08,30,6
Dean Martin,Baby It's Cold Outside,2020-01-04,45,1
Dean Martin,Come Running Back,1966-06-18,35,7
Dean Martin,Everybody Loves Somebody,1964-10-03,1,15
Dean Martin,"From The Bottom Of My Heart (Dammi, Dammi, Dammi)",1963-02-23,91,6
Dean Martin,Houston,1965-10-02,21,9
Dean Martin,I Take A Lot Of Pride In What I Am,1969-08-30,75,4
Dean Martin,I Will,1966-01-01,10,10
Dean Martin,In The Chapel In The Moonlight,1967-08-19,25,7
Dean Martin,In The Misty Moonlight,1968-01-13,46,7
Dean Martin,Lay Some Happiness On Me,1967-05-27,55,5
Dean Martin,"Let It Snow, Let It Snow, Let It Snow",2021-01-09,8,14
Dean Martin,"Little Ole Wine Drinker, Me",1967-09-23,38,6
Dean Martin,Nobody's Baby Again,1966-11-12,60,6
Dean Martin,Not Enough Indians,1968-12-28,43,9
Dean Martin,On An Evening In Roma,1959-10-05,59,13
Dean Martin,Return To Me,1958-08-25,48,4
Dean Martin,Send Me The Pillow You Dream On,1965-04-17,22,9
Dean Martin,Somewhere There's A Someone,1966-04-02,32,8
Dean Martin,The Door Is Still Open To My Heart,1964-12-05,6,11
Dean Martin,Volare (Nel Blu Dipinto Di Blu),1958-10-27,15,13
Dean Martin,You'll Always Be The One I Love,1965-01-23,64,5
Dean Martin,You're Nobody Till Somebody Loves You,1965-02-06,25,9
Dean Martin,You've Still Got A Place In My Heart,1968-05-04,60,7
Dean Martin & Sammy Davis Jr.,Sam's Song,1963-01-05,94,3
Dean Parrish,Tell Her,1966-07-23,97,2
Dean Reed,The Search,1959-03-02,96,1
Deana Carter,Absence Of The Heart,1998-12-12,83,2
Deana Carter,Did I Shave My Legs For This?,1998-01-17,85,6
Deana Carter,Strawberry Wine,1996-12-07,65,10
Deana Carter,We Danced Anyway,1997-04-05,72,9
Deane Hawley,Look For A Star,1960-08-29,29,11
Deane Hawley,Pocketful Of Rainbows,1961-10-02,93,1
Death Cab For Cutie,I Will Possess Your Heart,2008-07-12,70,12
Death Cab For Cutie,Soul Meets Body,2006-02-11,60,19
Debarge,All This Love,1983-08-27,17,19
Debarge,I Like It,1983-05-28,31,17
Debarge,Love Me In A Special Way,1984-05-26,45,11
Debarge,Rhythm Of The Night,1985-07-13,3,22
Debarge,Time Will Reveal,1984-03-03,18,21
Debarge,Who's Holding Donna Now,1985-10-05,6,19
Debbie Campbell,Please Tell Him That I Said Hello,1975-08-02,84,5
Debbie Dean,Don't Let Him Shop Around,1961-02-13,92,2
Debbie Dovale,Hey Lover,1963-12-07,81,4
Debbie Gibson,Anything Is Possible,1991-02-02,26,12
Debbie Gibson,Electric Youth,1989-06-24,11,13
Debbie Gibson,Foolish Beat,1988-09-03,1,20
Debbie Gibson,Losin' Myself,1993-03-06,86,5
Debbie Gibson,Lost In Your Eyes,1989-05-27,1,19
Debbie Gibson,No More Rhyme,1989-09-16,17,14
Debbie Gibson,Only In My Dreams,1987-11-14,4,28
Debbie Gibson,Out Of The Blue,1988-05-21,3,17
Debbie Gibson,Shake Your Love,1988-02-27,4,22
Debbie Gibson,Staying Together,1988-10-22,22,12
Debbie Gibson,We Could Be Together,1989-10-28,71,6
Debbie Harry,Backfired,1981-10-17,43,10
Debbie Harry,French Kissin,1987-01-31,57,11
Debbie Harry,In Love With Love,1987-08-15,70,7
Debbie Harry,The Jam Was Moving,1981-11-14,82,3
Debbie Jacobs,High On Your Love,1980-04-05,70,4
Debbie Reynolds,Am I That Easy To Forget,1960-05-09,25,17
Debbie Reynolds,City Lights,1960-05-30,55,4
Debbie Taylor,I Don't Wanna Leave You,1976-01-24,100,1
Debbie Taylor,Never Gonna Let Him Know,1969-05-31,86,6
Debby Boone,California,1978-03-11,50,5
Debby Boone,"God Knows/Baby, I'm Yours",1978-07-08,74,7
Debby Boone,You Light Up My Life,1978-02-18,1,25
Debelah Morgan,Dance With Me,2001-02-10,8,29
Debelah Morgan,Yesterday,1998-11-28,56,11
Deborah Allen,Baby I Lied,1984-03-03,26,21
Deborah Cox,It's Over Now,1999-06-26,70,6
Deborah Cox,Nobody's Supposed To Be Here,1999-04-17,2,29
Deborah Cox,Sentimental,1996-01-20,27,20
Deborah Cox,Something Happened On The Way To Heaven,2004-03-06,95,1
Deborah Cox,The Sound Of My Tears,1997-01-25,97,4
Deborah Cox,Things Just Ain't The Same,1997-10-25,56,17
Deborah Cox,Where Do We Go From Here,1996-10-05,48,14
Deborah Cox,Who Do U Love,1996-06-15,17,20
Deborah Cox With R.L.,We Can't Be Friends,2000-01-22,8,20
Debra Laws,Very Special,1981-09-12,90,5
Dee Clark,At My Front Door,1960-04-25,56,7
Dee Clark,Crossfire Time,1963-12-14,92,5
Dee Clark,Hey Little Girl,1959-11-30,20,15
Dee Clark,How About That,1960-02-15,33,11
Dee Clark,I'm Going Back To School,1962-11-17,52,7
Dee Clark,Just Keep It Up,1959-08-10,18,15
Dee Clark,Nobody But You,1959-03-23,21,17
Dee Clark,Raindrops,1961-08-14,2,16
Dee Clark,You're Looking Good,1960-10-17,43,10
Dee Clark,Your Friends,1961-04-03,34,9
Dee Dee Sharp,Do The Bird,1963-05-11,10,11
Dee Dee Sharp,Gravy (For My Mashed Potatoes),1962-08-18,9,10
Dee Dee Sharp,I Really Love You,1965-12-18,78,7
Dee Dee Sharp,Mashed Potato Time,1962-06-30,2,18
Dee Dee Sharp,Ride!,1963-01-12,5,13
Dee Dee Sharp,Rock Me In The Cradle Of Love,1963-08-10,43,7
Dee Dee Sharp,Where Did I Go Wrong,1964-02-22,82,4
Dee Dee Sharp,Wild!,1963-11-30,33,9
Dee Dee Sharp,"Willyam, Willyam",1964-02-29,97,1
Dee Dee Warwick,Foolish Fool,1969-05-10,57,8
Dee Dee Warwick,I Want To Be With You,1966-11-12,41,12
Dee Dee Warwick,I'm Gonna Make You Love Me,1966-12-10,88,3
Dee Dee Warwick,She Didn't Know (She Kept On Talking),1970-06-27,70,8
Dee Dee Warwick,Suspicious Minds,1971-07-24,80,5
Dee Dee Warwick,We're Doing Fine,1965-08-07,96,1
Dee Dee Warwick,When Love Slips Away,1967-05-06,92,1
Dee Jay And The Runaways,Peter Rabbit,1966-07-16,45,11
Deee-Lite,Groove Is In The Heart,1991-02-16,4,23
Deee-Lite,Power Of Love,1991-03-09,47,10
Deep Blue Something,Breakfast At Tiffany's,1996-04-20,5,36
Deep Forest,Sweet Lullaby,1994-04-16,78,8
Deep Purple,Black Night,1971-01-09,66,6
Deep Purple,Hush,1968-10-19,4,10
Deep Purple,Kentucky Woman,1968-12-28,38,8
Deep Purple,Knocking At Your Back Door,1985-02-16,61,7
Deep Purple,Might Just Take Your Life,1974-04-13,91,4
Deep Purple,River Deep-Mountain High,1969-02-22,53,5
Deep Purple,Smoke On The Water,1973-09-08,4,16
Deep Purple,Woman From Tokyo,1973-10-20,60,6
Def Leppard,Animal,1988-02-13,19,19
Def Leppard,Armageddon It,1989-03-18,3,18
Def Leppard,Bringin' On The Heartbreak,1984-07-28,61,8
Def Leppard,Foolin',1983-12-03,28,14
Def Leppard,Have You Ever Needed Someone So Bad,1993-01-02,12,20
Def Leppard,Hysteria,1988-05-07,10,16
Def Leppard,Let's Get Rocked,1992-08-08,15,18
Def Leppard,Love Bites,1989-01-14,1,23
Def Leppard,Make Love Like A Man,1992-08-29,36,10
Def Leppard,Miss You In A Heartbeat,1994-04-02,39,17
Def Leppard,Photograph,1983-07-02,12,17
Def Leppard,Pour Some Sugar On Me,1988-10-01,2,24
Def Leppard,Rock Of Ages,1983-09-17,16,15
Def Leppard,Rocket,1989-05-27,12,13
Def Leppard,Stand Up (Kick Love Into Motion),1993-03-20,34,15
Def Leppard,Tonight,1993-05-29,62,9
Def Leppard,"Two Steps Behind (From ""Last Action Hero"")",1994-01-22,12,20
Def Leppard,When Love & Hate Collide,1996-03-02,58,14
Def Leppard,Women,1987-09-19,80,5
Default,Wasting My Time,2002-08-31,13,35
Degrees Of Motion,Do You Want It Right Now,1992-03-14,94,2
Deja,You And Me Tonight,1988-02-06,54,12
Deja Vu,My Heart Will Go On,1998-07-04,58,17
Del Amitri,Always The Last To Know,1992-12-05,30,17
Del Amitri,Kiss This Thing Goodbye,1990-07-28,35,11
Del Amitri,Roll To Me,1996-03-09,10,36
Del Reeves,Girl On The Billboard,1965-06-26,96,1
Del Shannon,Break Up,1965-06-05,95,3
Del Shannon,Cry Myself To Sleep,1962-06-30,99,1
Del Shannon,Do You Want To Dance,1964-10-31,43,7
Del Shannon,From Me To You,1963-07-20,77,4
Del Shannon,Handy Man,1964-09-05,22,10
Del Shannon,Hats Off To Larry,1961-08-28,5,13
Del Shannon,Hey! Little Girl,1962-01-20,38,8
Del Shannon,Keep Searchin' (We'll Follow The Sun),1965-02-20,9,14
Del Shannon,Little Town Flirt,1963-03-23,12,14
Del Shannon,Runaway,1961-06-26,1,17
Del Shannon,Sea Of Love,1982-02-27,33,12
Del Shannon,So Long Baby,1961-11-20,28,10
Del Shannon,Stranger In Town,1965-04-03,30,6
Del Shannon,Sue's Gotta Be Mine,1963-12-14,71,7
Del Shannon,The Big Hurt,1966-05-14,94,2
Del Shannon,The Swiss Maid,1962-10-13,64,5
Del Shannon,Two Kind Of Teardrops,1963-06-08,50,9
Delaney & Bonnie,Move 'Em Out,1972-02-19,59,5
Delaney & Bonnie,Only You Know And I Know,1971-11-27,20,10
Delaney & Bonnie,Where There's A Will There's A Way,1972-05-06,99,2
Delaney & Bonnie & Friends,Free The People,1970-06-13,75,4
Delaney & Bonnie & Friends,Never Ending Song Of Love,1971-08-28,13,15
Delaney & Bonnie & Friends,Soul Shake,1970-10-03,43,8
Delaney & Bonnie & Friends/Eric Clapton,Comin' Home,1970-03-07,84,3
Delbert & Glen,I Received A Letter,1972-12-16,90,3
Delbert McClinton,Giving It Up For Your Love,1981-04-11,8,19
Delbert McClinton,Shotgun Rider,1981-05-02,70,6
Delegation,Oh Honey,1979-04-21,45,12
Delinquent Habits,Tres Delinquentes,1996-09-07,35,20
Deliverance,Leaving L.A.,1980-09-27,71,5
Deliverance/Eric Weissberg & Steve Mandell,Dueling Banjos,1973-04-14,2,14
Della Humphrey,Don't Make The Good Girls Go Bad,1968-12-21,79,4
Della Reese,After Loving You,1965-08-07,95,2
Della Reese,And Now,1960-10-03,69,5
Della Reese,Don't You Know,1960-01-18,2,18
Della Reese,It Was A Very Good Year,1966-09-17,99,2
Della Reese,Not One Minute More,1960-02-22,16,11
Della Reese,Sermonette,1959-01-05,99,1
Della Reese,Someday (You'll Want Me to Want You),1960-05-02,56,7
Della Reese,The Most Beautiful Words,1961-03-06,67,5
Della Reese,"Won'cha Come Home, Bill Bailey",1961-04-24,98,1
Dem Franchize Boyz,Ridin' Rims,2006-07-15,80,6
Dem Franchize Boyz,White Tee's,2004-11-27,79,13
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,2006-03-18,15,26
Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",2006-07-08,7,25
Demi Lovato,Anyone,2020-02-15,34,2
Demi Lovato,Body Say,2016-08-06,84,1
Demi Lovato,Catch Me,2009-08-08,89,1
Demi Lovato,Confident,2016-03-05,21,20
Demi Lovato,Cool For The Summer,2015-11-28,11,20
Demi Lovato,Dancing With The Devil,2021-04-24,56,2
Demi Lovato,Don't Forget,2009-05-23,41,9
Demi Lovato,Fix A Heart,2011-10-08,69,1
Demi Lovato,Get Back,2008-10-04,43,6
Demi Lovato,Give Your Heart A Break,2012-11-24,16,32
Demi Lovato,Heart Attack,2013-07-27,10,20
Demi Lovato,Here We Go Again,2009-09-05,15,9
Demi Lovato,I Love Me,2020-05-23,18,10
Demi Lovato,La La Land,2009-02-28,52,8
Demi Lovato,Let It Go,2014-04-26,38,20
Demi Lovato,Made In The USA,2013-08-24,80,2
Demi Lovato,Neon Lights,2014-05-24,36,20
Demi Lovato,Skyscraper,2011-11-05,10,15
Demi Lovato,Sober,2018-08-11,47,3
Demi Lovato,Sorry Not Sorry,2018-03-24,6,36
Demi Lovato,Tell Me You Love Me,2018-04-21,53,20
Demi Lovato,Unbroken,2011-10-08,98,1
Demi Lovato & Joe Jonas,This Is Me,2008-08-16,9,7
Demi Lovato Featuring Ariana Grande,Met Him Last Night,2021-04-24,61,2
Demi Lovato Featuring Cher Lloyd,Really Don't Care,2014-10-18,26,18
Demi Lovato Featuring Jonas Brothers,On The Line,2008-10-11,100,1
Demis Roussos,That Once In A Lifetime,1978-08-12,47,11
Deniece Williams,Free,1977-04-23,25,20
Deniece Williams,I Can't Wait,1988-11-12,66,8
Deniece Williams,I've Got The Next Dance,1979-09-15,73,5
Deniece Williams,It's Gonna Take A Miracle,1982-07-24,10,17
Deniece Williams,Let's Hear It For The Boy,1984-08-11,1,19
Deniece Williams,Next Love,1984-09-01,81,4
Deniece Williams,Silly,1981-10-17,53,10
Denine With Collage's Adam Marano,All Cried Out,1996-03-30,72,11
Denise LaSalle,Love Me Right,1978-03-18,80,10
Denise LaSalle,Man Sized Job,1972-12-02,55,9
Denise LaSalle,Now Run And Tell That,1972-04-15,46,11
Denise LaSalle,Trapped By A Thing Called Love,1971-11-20,13,14
Denise Lopez,Don't You Wanna Be Mine,1990-11-17,86,3
Denise Lopez,If You Feel It,1988-11-26,94,3
Denise Lopez,Sayin' Sorry (Don't Make It Right),1988-10-01,31,17
Dennis Coffey & The Detroit Guitar Band,"Getting It On/Ride, Sally, Ride",1972-06-24,93,4
Dennis Coffey & The Detroit Guitar Band,Scorpio,1972-02-19,6,17
Dennis Coffey & The Detroit Guitar Band,Taurus,1972-05-06,18,12
Dennis DeYoung,Call Me,1986-05-24,54,11
Dennis DeYoung,Desert Moon,1985-02-02,10,22
Dennis DeYoung,Don't Wait For Heroes,1984-12-29,83,4
Dennis DeYoung,This Is The Time,1986-07-12,93,3
Dennis Edwards,Don't Look Any Further,1984-06-02,72,6
Dennis Lloyd,Nevermind,2018-08-25,86,4
Dennis Yost And The Classics IV,Change Of Heart,1969-09-13,49,7
Dennis Yost And The Classics IV,Midnight,1970-01-03,58,8
Dennis Yost And The Classics IV,My First Day Without Her,1975-04-12,94,2
Dennis Yost And The Classics IV,Rosanna,1973-03-24,95,3
Dennis Yost And The Classics IV,The Funniest Thing,1970-04-25,59,5
Dennis Yost And The Classics IV,What Am I Crying For?,1973-01-13,39,13
Dennis Yost And The Classics IV,Where Did All The Good Times Go,1970-12-12,69,8
Denny Reed,A Teenager Feels It Too,1960-09-12,94,3
Deodato,Also Sprach Zarathustra (2001),1973-04-21,2,12
Deodato,Happy Hour,1982-07-17,70,5
Deodato,Peter Gunn,1976-11-27,84,6
Deodato,Rhapsody In Blue,1973-10-13,41,8
Deon Estus With George Michael,Heaven Help Me,1989-06-10,5,16
Deon Jackson,Love Makes The World Go Round,1966-04-23,11,14
Deon Jackson,Love Takes A Long Time Growing,1966-05-28,77,5
Deon Jackson,Ooh Baby,1967-12-23,65,6
Depeche Mode,Barrel Of A Gun,1997-03-22,47,5
Depeche Mode,Dream On,2001-07-14,85,10
Depeche Mode,Enjoy The Silence,1990-09-22,8,24
Depeche Mode,Home,1997-12-20,88,3
Depeche Mode,I Feel You,1993-05-22,37,12
Depeche Mode,It's No Good,1997-09-27,38,20
Depeche Mode,Master & Servant/(Set Me Free) Remotivate Me,1985-09-21,87,3
Depeche Mode,Never Let Me Down Again,1988-02-27,63,10
Depeche Mode,Only When I Lose Myself,1998-11-28,61,9
Depeche Mode,People Are People,1985-09-21,13,18
Depeche Mode,Personal Jesus,1990-04-21,28,20
Depeche Mode,Policy Of Truth,1990-11-24,15,16
Depeche Mode,Precious,2005-11-12,71,3
Depeche Mode,Route 66/Behind The Wheel,1988-07-16,61,11
Depeche Mode,Strangelove,1988-11-05,50,15
Depeche Mode,Walking In My Shoes,1993-07-24,69,8
Depeche Mode,World In My Eyes,1991-01-26,52,10
Derek,Back Door Man,1969-03-29,59,6
Derek,Cinnamon,1969-02-01,11,15
Derek & The Dominos,Bell Bottom Blues,1971-03-06,91,2
Derek & The Dominos,Layla,1972-08-19,10,25
Derek Martin,You Better Go,1965-09-04,78,6
Derez De'Shon,Hardaway,2018-04-28,61,11
Derringer,Let Me In,1976-09-04,86,2
Deryl Dodd,A Bitter End,1999-02-13,88,7
Des'ree,Feel So High,1995-06-10,67,11
Des'ree,You Gotta Be,1995-07-01,5,44
Descendants 2 Cast,It's Goin' Down,2017-09-02,77,4
Desiigner,Panda,2016-12-10,1,40
Desiigner,Tiimmy Turner,2016-12-24,34,20
Desmond Child,Love On A Rooftop,1991-09-07,40,12
Desmond Child,You're The Story Of My Life,1991-11-09,74,6
Desmond Child And Rouge,Our Love Is Insane,1979-03-31,51,11
Desmond Dekker And The Aces,Israelites,1969-07-19,9,10
Destiny's Child,"Bills, Bills, Bills",1999-10-30,1,20
Destiny's Child,Bootylicious,2001-10-13,1,19
Destiny's Child,Bug A Boo,2000-02-05,33,20
Destiny's Child,Cater 2 U,2005-10-08,14,24
Destiny's Child,Emotion,2002-02-09,10,20
Destiny's Child,Girl,2005-08-13,23,19
Destiny's Child,Independent Women Part I,2001-03-31,1,28
Destiny's Child,"Jumpin', Jumpin'",2000-12-16,3,32
Destiny's Child,Lose My Breath,2005-02-26,3,23
Destiny's Child,"No, No, No",1998-07-25,3,35
Destiny's Child,Say My Name,2000-07-29,1,32
Destiny's Child,Survivor,2001-07-28,2,20
Destiny's Child Featuring T.I. & Lil Wayne,Soldier,2005-04-16,3,21
Detroit Emeralds,Baby Let Me Take You (In My Arms),1972-09-16,24,17
Detroit Emeralds,Do Me Right,1971-05-22,43,14
Detroit Emeralds,Feel The Need,1977-06-11,90,5
Detroit Emeralds,Show Time,1968-04-27,89,5
Detroit Emeralds,Wear This Ring (With Love),1971-09-04,91,4
Detroit Emeralds,"You Want It, You Got It",1972-04-01,36,13
Dev,In The Dark,2011-12-31,11,20
Dev & Enrique Iglesias,Naked,2012-04-14,99,1
Dev Featuring The Cataracs,Bass Down Low,2011-03-19,61,12
Device,Hanging On A Heart Attack,1986-09-13,35,14
Device,Who Says,1986-11-01,79,6
Devin Dawson,All On Me,2018-04-21,52,20
Devo,Theme From Doctor Detroit,1983-06-25,59,6
Devo,Whip It,1981-02-14,14,25
Devo,Working In The Coal Mine,1981-11-21,43,12
Devone,Energy,1996-03-16,70,9
Dexys Midnight Runners,Come On Eileen,1983-06-25,1,23
Dexys Midnight Runners,The Celtic Soul Brothers,1983-06-18,86,4
Dia Frampton,Heartless,2011-07-16,57,4
Dia Frampton,Inventing Shadows,2011-07-16,20,1
Dia Frampton,Losing My Religion,2011-07-16,54,2
Diamond Reo,Ain't That Peculiar,1975-02-15,44,6
Diamond Rio,Beautiful Mess,2002-12-21,28,20
Diamond Rio,I Believe,2003-08-02,31,20
Diamond Rio,One More Day,2001-06-02,29,20
Diamond Rio,Unbelievable,1999-05-01,36,20
Diana DeGarmo,Dreams,2004-08-14,14,5
Diana King,Ain't Nobody,1996-04-06,94,4
Diana King,I Say A Little Prayer,1997-11-29,38,20
Diana King,L-L-Lies,1998-02-28,71,15
Diana King,"Shy Guy (From ""Bad Boys"")",1995-10-14,13,29
Diana Ross,Ain't No Mountain High Enough,1970-11-07,1,14
Diana Ross,Chain Reaction,1986-06-21,66,11
Diana Ross,Eaten Alive,1985-11-02,77,7
Diana Ross,Gettin' Ready For Love,1978-01-28,27,13
Diana Ross,Good Morning Heartache,1973-04-07,34,13
Diana Ross,I Thought It Took A Little Time (But Today I Fell In Love),1976-05-01,47,7
Diana Ross,I'm Coming Out,1981-02-07,5,23
Diana Ross,I'm Still Waiting,1971-12-04,63,5
Diana Ross,It's My Turn,1981-03-14,9,21
Diana Ross,Last Time I Saw Him,1974-04-06,14,14
Diana Ross,Let's Go Up,1984-01-21,77,6
Diana Ross,Love Hangover,1976-07-31,1,18
Diana Ross,"Mirror, Mirror",1982-04-10,8,14
Diana Ross,Missing You,1985-06-01,10,27
Diana Ross,Muscles,1983-01-22,10,17
Diana Ross,One Love In My Lifetime,1976-10-23,25,12
Diana Ross,One More Chance,1981-05-09,79,5
Diana Ross,Pieces Of Ice,1983-08-27,31,10
Diana Ross,Reach Out And Touch (Somebody's Hand),1970-06-20,20,9
Diana Ross,Reach Out I'll Be There,1971-06-12,29,7
Diana Ross,Remember Me,1971-02-27,16,10
Diana Ross,Sleepin',1974-06-08,70,5
Diana Ross,So Close,1983-04-09,40,10
Diana Ross,Surrender,1971-10-02,38,8
Diana Ross,Swept Away,1984-12-01,19,14
Diana Ross,The Boss,1979-10-27,19,16
Diana Ross,Theme From Mahogany (Do You Know Where You're Going To),1976-02-21,1,17
Diana Ross,Touch Me In The Morning,1973-10-20,1,21
Diana Ross,Upside Down,1981-01-24,1,29
Diana Ross,Why Do Fools Fall In Love,1982-02-27,7,20
Diana Ross,Work That Body,1982-05-22,44,7
Diana Ross,You Got It,1978-06-17,49,7
Diana Ross,Your Love Is So Good For Me,1978-04-15,49,7
Diana Ross & Lionel Richie,Endless Love,1982-01-09,1,27
Diana Ross & Marvin Gaye,Don't Knock My Love,1974-09-07,46,9
Diana Ross & Marvin Gaye,My Mistake (Was To Love You),1974-06-08,19,16
Diana Ross & Marvin Gaye,You're A Special Part Of Me,1973-12-22,12,12
Diana Ross & Michael Jackson,Ease On Down The Road,1978-11-04,41,9
Diana Ross & The Supremes,Forever Came Today,1968-05-11,28,9
Diana Ross & The Supremes,I'm Livin' In Shame,1969-03-15,10,8
Diana Ross & The Supremes,In And Out Of Love,1967-12-30,9,8
Diana Ross & The Supremes,Love Child,1969-02-01,1,16
Diana Ross & The Supremes,No Matter What Sign You Are,1969-07-05,31,6
Diana Ross & The Supremes,Reflections,1967-10-21,2,11
Diana Ross & The Supremes,Some Things You Never Get Used To,1968-07-20,30,7
Diana Ross & The Supremes,Someday We'll Be Together,1970-02-21,1,16
Diana Ross & The Supremes,The Composer,1969-05-24,27,6
Diana Ross & The Supremes,The Young Folks,1969-08-30,69,5
Diana Ross And The Supremes & The Temptations,I'm Gonna Make You Love Me,1969-03-01,2,13
"Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder","Pops, We Love You (A Tribute To Father)",1979-03-10,59,8
Diana Williams,Teddy Bear's Last Ride,1976-10-09,66,6
Diane Kolby,Holy Man,1970-10-24,67,6
Diane Maxwell,Jimmy Kiss And Run,1959-03-23,95,1
Diane Ray,Please Don't Talk To The Lifeguard,1963-09-28,31,9
Diane Renay,Kiss Me Sailor,1964-05-23,29,8
Diane Renay,Navy Blue,1964-04-11,6,12
Dick Dale and The Del-Tones,Let's Go Trippin',1962-01-27,60,9
Dick Dale and The Del-Tones,The Scavenger,1963-10-26,98,1
Dick Feller,Makin' The Best Of A Bad Situation,1974-08-24,85,5
